[SYS] 2024/10/04 - 08:01:50 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:01:50 | using MySQL as database 
[FATAL] 2024/10/04 - 08:01:50 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:01:52 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:01:52 | using MySQL as database 
[FATAL] 2024/10/04 - 08:01:52 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:01:53 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:01:53 | using MySQL as database 
[FATAL] 2024/10/04 - 08:01:53 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:01:54 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:01:54 | using MySQL as database 
[FATAL] 2024/10/04 - 08:01:54 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:01:56 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:01:56 | using MySQL as database 
[FATAL] 2024/10/04 - 08:01:56 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:01:58 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:01:58 | using MySQL as database 
[FATAL] 2024/10/04 - 08:01:58 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:02:01 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:02:01 | using MySQL as database 
[FATAL] 2024/10/04 - 08:02:01 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:02:04 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:02:04 | using MySQL as database 
[FATAL] 2024/10/04 - 08:02:04 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:02:06 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:02:06 | using MySQL as database 
[FATAL] 2024/10/04 - 08:02:06 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:02:07 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:02:07 | using MySQL as database 
[FATAL] 2024/10/04 - 08:02:07 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:02:09 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:02:09 | using MySQL as database 
[FATAL] 2024/10/04 - 08:02:09 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:02:10 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:02:10 | using MySQL as database 
[FATAL] 2024/10/04 - 08:02:10 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:02:12 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:02:12 | using MySQL as database 
[FATAL] 2024/10/04 - 08:02:12 | [dial tcp 192.168.160.4:3306: connect: connection refused] 
[SYS] 2024/10/04 - 08:02:16 | One API v0.6.6 started 
[SYS] 2024/10/04 - 08:02:16 | using MySQL as database 
[SYS] 2024/10/04 - 08:02:16 | database migration started 
[SYS] 2024/10/04 - 08:02:17 | database migrated 
[SYS] 2024/10/04 - 08:02:17 | no user exists, creating a root user for you: username is root, password is 123456 
[SYS] 2024/10/04 - 08:02:17 | creating initial root token as requested 
[SYS] 2024/10/04 - 08:02:17 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/04 - 08:02:17 | using theme default 
[SYS] 2024/10/04 - 08:02:17 | memory cache enabled 
[SYS] 2024/10/04 - 08:02:17 | sync frequency: 600 seconds 
[SYS] 2024/10/04 - 08:02:17 | channels synced from database 
[SYS] 2024/10/04 - 08:02:17 | batch update enabled with interval 10s 
[SYS] 2024/10/04 - 08:02:17 | initializing token encoders 
[SYS] 2024/10/04 - 08:02:27 | token encoders initialized 
[SYS] 2024/10/04 - 08:02:27 | batch update started 
[SYS] 2024/10/04 - 08:02:27 | batch update finished 
[SYS] 2024/10/04 - 08:02:37 | batch update started 
[SYS] 2024/10/04 - 08:02:37 | batch update finished 
[SYS] 2024/10/04 - 08:02:47 | batch update started 
[SYS] 2024/10/04 - 08:02:47 | batch update finished 
[SYS] 2024/10/04 - 08:02:57 | batch update started 
[SYS] 2024/10/04 - 08:02:57 | batch update finished 
[SYS] 2024/10/04 - 08:03:07 | batch update started 
[SYS] 2024/10/04 - 08:03:07 | batch update finished 
[SYS] 2024/10/04 - 08:03:17 | batch update started 
[SYS] 2024/10/04 - 08:03:17 | batch update finished 
[SYS] 2024/10/04 - 08:03:27 | batch update started 
[SYS] 2024/10/04 - 08:03:27 | batch update finished 
[SYS] 2024/10/04 - 08:03:37 | batch update started 
[SYS] 2024/10/04 - 08:03:37 | batch update finished 
[SYS] 2024/10/04 - 08:03:47 | batch update started 
[SYS] 2024/10/04 - 08:03:47 | batch update finished 
[SYS] 2024/10/04 - 08:03:57 | batch update started 
[SYS] 2024/10/04 - 08:03:57 | batch update finished 
[SYS] 2024/10/04 - 08:04:07 | batch update started 
[SYS] 2024/10/04 - 08:04:07 | batch update finished 
[SYS] 2024/10/04 - 08:04:17 | batch update started 
[SYS] 2024/10/04 - 08:04:17 | batch update finished 
[SYS] 2024/10/04 - 08:04:22 | CacheGetTokenByKey failed: record not found 
[ERR] 2024/10/04 - 08:04:22 | 2024100408042269579625341244727 | 无效的令牌 
[GIN] 2024/10/04 - 08:04:22 | 2024100408042269579625341244727 | 401 |     3.51797ms |   192.168.160.6 |    POST /v1/chat/completions
[SYS] 2024/10/04 - 08:04:27 | batch update started 
[SYS] 2024/10/04 - 08:04:27 | batch update finished 
[SYS] 2024/10/04 - 08:04:37 | batch update started 
