[SYS] 2024/10/22 - 01:40:09 | One API v0.6.6 started 
[SYS] 2024/10/22 - 01:40:09 | using MySQL as database 
[FATAL] 2024/10/22 - 01:40:09 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/22 - 01:40:09 | One API v0.6.6 started 
[SYS] 2024/10/22 - 01:40:09 | using MySQL as database 
[SYS] 2024/10/22 - 01:40:09 | database migration started 
[SYS] 2024/10/22 - 01:40:09 | database migrated 
[SYS] 2024/10/22 - 01:40:09 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/22 - 01:40:09 | using theme default 
[SYS] 2024/10/22 - 01:40:09 | memory cache enabled 
[SYS] 2024/10/22 - 01:40:09 | sync frequency: 600 seconds 
[SYS] 2024/10/22 - 01:40:09 | channels synced from database 
[SYS] 2024/10/22 - 01:40:09 | batch update enabled with interval 10s 
[SYS] 2024/10/22 - 01:40:09 | initializing token encoders 
[SYS] 2024/10/22 - 01:40:09 | token encoders initialized 
[SYS] 2024/10/22 - 01:40:19 | batch update started 
[SYS] 2024/10/22 - 01:40:19 | batch update finished 
[SYS] 2024/10/22 - 01:40:29 | batch update started 
[SYS] 2024/10/22 - 01:40:29 | batch update finished 
[SYS] 2024/10/22 - 01:40:39 | batch update started 
[SYS] 2024/10/22 - 01:40:39 | batch update finished 
[SYS] 2024/10/22 - 01:40:49 | batch update started 
[SYS] 2024/10/22 - 01:40:49 | batch update finished 
[SYS] 2024/10/22 - 01:40:59 | batch update started 
[SYS] 2024/10/22 - 01:40:59 | batch update finished 
[SYS] 2024/10/22 - 01:41:09 | batch update started 
[SYS] 2024/10/22 - 01:41:09 | batch update finished 
[SYS] 2024/10/22 - 01:41:19 | batch update started 
[SYS] 2024/10/22 - 01:41:19 | batch update finished 
[SYS] 2024/10/22 - 01:41:29 | batch update started 
[SYS] 2024/10/22 - 01:41:29 | batch update finished 
[SYS] 2024/10/22 - 01:41:39 | batch update started 
[SYS] 2024/10/22 - 01:41:39 | batch update finished 
[SYS] 2024/10/22 - 01:41:49 | batch update started 
[SYS] 2024/10/22 - 01:41:49 | batch update finished 
[SYS] 2024/10/22 - 01:41:59 | batch update started 
[SYS] 2024/10/22 - 01:41:59 | batch update finished 
[SYS] 2024/10/22 - 01:42:09 | batch update started 
[SYS] 2024/10/22 - 01:42:09 | batch update finished 
[SYS] 2024/10/22 - 01:42:19 | batch update started 
[SYS] 2024/10/22 - 01:42:19 | batch update finished 
[SYS] 2024/10/22 - 01:42:29 | batch update started 
[SYS] 2024/10/22 - 01:42:29 | batch update finished 
[SYS] 2024/10/22 - 01:42:39 | batch update started 
[SYS] 2024/10/22 - 01:42:39 | batch update finished 
[SYS] 2024/10/22 - 01:42:49 | batch update started 
[SYS] 2024/10/22 - 01:42:49 | batch update finished 
[SYS] 2024/10/22 - 01:42:59 | batch update started 
[SYS] 2024/10/22 - 01:42:59 | batch update finished 
[SYS] 2024/10/22 - 01:43:09 | batch update started 
[SYS] 2024/10/22 - 01:43:09 | batch update finished 
[SYS] 2024/10/22 - 01:43:19 | batch update started 
[SYS] 2024/10/22 - 01:43:19 | batch update finished 
[SYS] 2024/10/22 - 01:43:29 | batch update started 
[SYS] 2024/10/22 - 01:43:29 | batch update finished 
[SYS] 2024/10/22 - 01:43:39 | batch update started 
[SYS] 2024/10/22 - 01:43:39 | batch update finished 
