[SYS] 2024/10/06 - 01:56:09 | One API v0.6.6 started 
[SYS] 2024/10/06 - 01:56:09 | using MySQL as database 
[SYS] 2024/10/06 - 01:56:09 | database migration started 
[SYS] 2024/10/06 - 01:56:09 | database migrated 
[SYS] 2024/10/06 - 01:56:09 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/06 - 01:56:09 | using theme default 
[SYS] 2024/10/06 - 01:56:09 | memory cache enabled 
[SYS] 2024/10/06 - 01:56:09 | sync frequency: 600 seconds 
[SYS] 2024/10/06 - 01:56:09 | channels synced from database 
[SYS] 2024/10/06 - 01:56:09 | batch update enabled with interval 10s 
[SYS] 2024/10/06 - 01:56:09 | initializing token encoders 
[SYS] 2024/10/06 - 01:56:09 | token encoders initialized 
[SYS] 2024/10/06 - 01:56:19 | batch update started 
[SYS] 2024/10/06 - 01:56:19 | batch update finished 
[GIN] 2024/10/06 - 01:56:21 | 202410060156212940573428859662 | 200 |     2.18389ms |   192.168.1.111 |     GET /
[GIN] 2024/10/06 - 01:56:21 | 202410060156218362625186090614 | 200 |    1.211975ms |   192.168.1.111 |     GET /api/status
[GIN] 2024/10/06 - 01:56:21 | 2024100601562113734597415265525 | 200 |     240.055µs |   192.168.1.111 |     GET /api/home_page_content
[GIN] 2024/10/06 - 01:56:21 | 2024100601562113734585684486833 | 200 |    1.058899ms |   192.168.1.111 |     GET /api/notice
[SYS] 2024/10/06 - 01:56:29 | batch update started 
[SYS] 2024/10/06 - 01:56:29 | batch update finished 
[SYS] 2024/10/06 - 01:56:39 | batch update started 
[SYS] 2024/10/06 - 01:56:39 | batch update finished 
[SYS] 2024/10/06 - 01:56:49 | batch update started 
[SYS] 2024/10/06 - 01:56:49 | batch update finished 
[SYS] 2024/10/06 - 01:56:59 | batch update started 
[SYS] 2024/10/06 - 01:56:59 | batch update finished 
[SYS] 2024/10/06 - 01:57:09 | batch update started 
[SYS] 2024/10/06 - 01:57:09 | batch update finished 
[SYS] 2024/10/06 - 01:57:19 | batch update started 
[SYS] 2024/10/06 - 01:57:19 | batch update finished 
[SYS] 2024/10/06 - 01:57:29 | batch update started 
[SYS] 2024/10/06 - 01:57:29 | batch update finished 
[SYS] 2024/10/06 - 01:57:39 | batch update started 
[SYS] 2024/10/06 - 01:57:39 | batch update finished 
[SYS] 2024/10/06 - 01:57:49 | batch update started 
[SYS] 2024/10/06 - 01:57:49 | batch update finished 
[SYS] 2024/10/06 - 01:57:59 | batch update started 
[SYS] 2024/10/06 - 01:57:59 | batch update finished 
[SYS] 2024/10/06 - 01:58:09 | batch update started 
[SYS] 2024/10/06 - 01:58:09 | batch update finished 
[SYS] 2024/10/06 - 01:58:19 | batch update started 
[SYS] 2024/10/06 - 01:58:19 | batch update finished 
[SYS] 2024/10/06 - 01:58:29 | batch update started 
[SYS] 2024/10/06 - 01:58:29 | batch update finished 
[SYS] 2024/10/06 - 01:58:39 | batch update started 
[SYS] 2024/10/06 - 01:58:39 | batch update finished 
[SYS] 2024/10/06 - 01:58:49 | batch update started 
[SYS] 2024/10/06 - 01:58:49 | batch update finished 
[SYS] 2024/10/06 - 01:59:24 | One API v0.6.6 started 
[SYS] 2024/10/06 - 01:59:24 | using MySQL as database 
[FATAL] 2024/10/06 - 01:59:24 | [dial tcp 172.19.0.2:3306: connect: connection refused] 
[SYS] 2024/10/06 - 01:59:27 | One API v0.6.6 started 
[SYS] 2024/10/06 - 01:59:27 | using MySQL as database 
[SYS] 2024/10/06 - 01:59:27 | database migration started 
[SYS] 2024/10/06 - 01:59:27 | database migrated 
[SYS] 2024/10/06 - 01:59:27 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/06 - 01:59:27 | using theme default 
[SYS] 2024/10/06 - 01:59:27 | memory cache enabled 
[SYS] 2024/10/06 - 01:59:27 | sync frequency: 600 seconds 
[SYS] 2024/10/06 - 01:59:27 | channels synced from database 
[SYS] 2024/10/06 - 01:59:27 | batch update enabled with interval 10s 
