[SYS] 2024/10/21 - 09:09:50 | One API v0.6.6 started 
[SYS] 2024/10/21 - 09:09:50 | using MySQL as database 
[FATAL] 2024/10/21 - 09:09:51 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/21 - 09:09:51 | One API v0.6.6 started 
[SYS] 2024/10/21 - 09:09:51 | using MySQL as database 
[FATAL] 2024/10/21 - 09:09:51 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/21 - 09:09:52 | One API v0.6.6 started 
[SYS] 2024/10/21 - 09:09:52 | using MySQL as database 
[SYS] 2024/10/21 - 09:09:52 | database migration started 
[SYS] 2024/10/21 - 09:09:52 | database migrated 
[SYS] 2024/10/21 - 09:09:52 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/21 - 09:09:52 | using theme default 
[SYS] 2024/10/21 - 09:09:52 | memory cache enabled 
[SYS] 2024/10/21 - 09:09:52 | sync frequency: 600 seconds 
[SYS] 2024/10/21 - 09:09:52 | channels synced from database 
[SYS] 2024/10/21 - 09:09:52 | batch update enabled with interval 10s 
[SYS] 2024/10/21 - 09:09:52 | initializing token encoders 
[SYS] 2024/10/21 - 09:09:52 | token encoders initialized 
[SYS] 2024/10/21 - 09:10:02 | batch update started 
[SYS] 2024/10/21 - 09:10:02 | batch update finished 
[SYS] 2024/10/21 - 09:10:12 | batch update started 
[SYS] 2024/10/21 - 09:10:12 | batch update finished 
[SYS] 2024/10/21 - 09:10:23 | batch update started 
[SYS] 2024/10/21 - 09:10:23 | batch update finished 
[SYS] 2024/10/21 - 09:10:33 | batch update started 
[SYS] 2024/10/21 - 09:10:33 | batch update finished 
[SYS] 2024/10/21 - 09:10:43 | batch update started 
[SYS] 2024/10/21 - 09:10:43 | batch update finished 
[SYS] 2024/10/21 - 09:10:53 | batch update started 
[SYS] 2024/10/21 - 09:10:53 | batch update finished 
[SYS] 2024/10/21 - 09:11:03 | batch update started 
[SYS] 2024/10/21 - 09:11:03 | batch update finished 
[SYS] 2024/10/21 - 09:11:13 | batch update started 
[SYS] 2024/10/21 - 09:11:13 | batch update finished 
[SYS] 2024/10/21 - 09:11:23 | batch update started 
[SYS] 2024/10/21 - 09:11:23 | batch update finished 
[SYS] 2024/10/21 - 09:11:33 | batch update started 
[SYS] 2024/10/21 - 09:11:33 | batch update finished 
[SYS] 2024/10/21 - 09:11:43 | batch update started 
[SYS] 2024/10/21 - 09:11:43 | batch update finished 
[SYS] 2024/10/21 - 09:11:53 | batch update started 
[SYS] 2024/10/21 - 09:11:53 | batch update finished 
[SYS] 2024/10/21 - 09:12:03 | batch update started 
[SYS] 2024/10/21 - 09:12:03 | batch update finished 
[SYS] 2024/10/21 - 09:12:13 | batch update started 
[SYS] 2024/10/21 - 09:12:13 | batch update finished 
[SYS] 2024/10/21 - 09:12:23 | batch update started 
[SYS] 2024/10/21 - 09:12:23 | batch update finished 
[SYS] 2024/10/21 - 09:12:33 | batch update started 
[SYS] 2024/10/21 - 09:12:33 | batch update finished 
[SYS] 2024/10/21 - 09:12:43 | batch update started 
[SYS] 2024/10/21 - 09:12:43 | batch update finished 
[SYS] 2024/10/21 - 09:12:53 | batch update started 
[SYS] 2024/10/21 - 09:12:53 | batch update finished 
[SYS] 2024/10/21 - 09:13:03 | batch update started 
[SYS] 2024/10/21 - 09:13:03 | batch update finished 
[SYS] 2024/10/21 - 09:13:13 | batch update started 
[SYS] 2024/10/21 - 09:13:13 | batch update finished 
[SYS] 2024/10/21 - 09:13:23 | batch update started 
[SYS] 2024/10/21 - 09:13:23 | batch update finished 
[SYS] 2024/10/21 - 09:13:33 | batch update started 
[SYS] 2024/10/21 - 09:13:33 | batch update finished 
[SYS] 2024/10/21 - 09:13:43 | batch update started 
[SYS] 2024/10/21 - 09:13:43 | batch update finished 
[SYS] 2024/10/21 - 09:13:53 | batch update started 
[SYS] 2024/10/21 - 09:13:53 | batch update finished 
[SYS] 2024/10/21 - 09:14:03 | batch update started 
[SYS] 2024/10/21 - 09:14:03 | batch update finished 
[SYS] 2024/10/21 - 09:14:13 | batch update started 
[SYS] 2024/10/21 - 09:14:13 | batch update finished 
[SYS] 2024/10/21 - 09:14:23 | batch update started 
[SYS] 2024/10/21 - 09:14:23 | batch update finished 
[SYS] 2024/10/21 - 09:14:33 | batch update started 
[SYS] 2024/10/21 - 09:14:33 | batch update finished 
[SYS] 2024/10/21 - 09:14:43 | batch update started 
[SYS] 2024/10/21 - 09:14:43 | batch update finished 
[SYS] 2024/10/21 - 09:14:53 | batch update started 
[SYS] 2024/10/21 - 09:14:53 | batch update finished 
[SYS] 2024/10/21 - 09:15:03 | batch update started 
[SYS] 2024/10/21 - 09:15:03 | batch update finished 
[SYS] 2024/10/21 - 09:15:13 | batch update started 
[SYS] 2024/10/21 - 09:15:13 | batch update finished 
[SYS] 2024/10/21 - 09:15:23 | batch update started 
[SYS] 2024/10/21 - 09:15:23 | batch update finished 
[SYS] 2024/10/21 - 09:15:33 | batch update started 
[SYS] 2024/10/21 - 09:15:33 | batch update finished 
[SYS] 2024/10/21 - 09:15:43 | batch update started 
[SYS] 2024/10/21 - 09:15:43 | batch update finished 
[SYS] 2024/10/21 - 09:15:53 | batch update started 
[SYS] 2024/10/21 - 09:15:53 | batch update finished 
[SYS] 2024/10/21 - 09:16:03 | batch update started 
[SYS] 2024/10/21 - 09:16:03 | batch update finished 
[SYS] 2024/10/21 - 09:16:13 | batch update started 
[SYS] 2024/10/21 - 09:16:13 | batch update finished 
[SYS] 2024/10/21 - 09:16:23 | batch update started 
[SYS] 2024/10/21 - 09:16:23 | batch update finished 
[SYS] 2024/10/21 - 09:16:33 | batch update started 
[SYS] 2024/10/21 - 09:16:33 | batch update finished 
[SYS] 2024/10/21 - 09:16:43 | batch update started 
[SYS] 2024/10/21 - 09:16:43 | batch update finished 
[SYS] 2024/10/21 - 09:16:53 | batch update started 
[SYS] 2024/10/21 - 09:16:53 | batch update finished 
[SYS] 2024/10/21 - 09:17:03 | batch update started 
[SYS] 2024/10/21 - 09:17:03 | batch update finished 
[SYS] 2024/10/21 - 09:17:13 | batch update started 
[SYS] 2024/10/21 - 09:17:13 | batch update finished 
[SYS] 2024/10/21 - 09:17:23 | batch update started 
[SYS] 2024/10/21 - 09:17:23 | batch update finished 
[SYS] 2024/10/21 - 09:17:33 | batch update started 
[SYS] 2024/10/21 - 09:17:33 | batch update finished 
[SYS] 2024/10/21 - 09:17:43 | batch update started 
[SYS] 2024/10/21 - 09:17:43 | batch update finished 
[SYS] 2024/10/21 - 09:17:53 | batch update started 
[SYS] 2024/10/21 - 09:17:53 | batch update finished 
[SYS] 2024/10/21 - 09:18:03 | batch update started 
[SYS] 2024/10/21 - 09:18:03 | batch update finished 
[SYS] 2024/10/21 - 09:18:13 | batch update started 
[SYS] 2024/10/21 - 09:18:13 | batch update finished 
[SYS] 2024/10/21 - 09:18:23 | batch update started 
[SYS] 2024/10/21 - 09:18:23 | batch update finished 
[SYS] 2024/10/21 - 09:18:33 | batch update started 
[SYS] 2024/10/21 - 09:18:33 | batch update finished 
[SYS] 2024/10/21 - 09:18:43 | batch update started 
[SYS] 2024/10/21 - 09:18:43 | batch update finished 
[SYS] 2024/10/21 - 09:18:53 | batch update started 
[SYS] 2024/10/21 - 09:18:53 | batch update finished 
[SYS] 2024/10/21 - 09:19:03 | batch update started 
[SYS] 2024/10/21 - 09:19:03 | batch update finished 
[SYS] 2024/10/21 - 09:19:13 | batch update started 
[SYS] 2024/10/21 - 09:19:13 | batch update finished 
[SYS] 2024/10/21 - 09:19:23 | batch update started 
[SYS] 2024/10/21 - 09:19:23 | batch update finished 
[SYS] 2024/10/21 - 09:19:33 | batch update started 
[SYS] 2024/10/21 - 09:19:33 | batch update finished 
[SYS] 2024/10/21 - 09:19:43 | batch update started 
[SYS] 2024/10/21 - 09:19:43 | batch update finished 
[SYS] 2024/10/21 - 09:19:53 | syncing channels from database 
[SYS] 2024/10/21 - 09:19:53 | syncing options from database 
[SYS] 2024/10/21 - 09:19:53 | channels synced from database 
[SYS] 2024/10/21 - 09:19:53 | batch update started 
[SYS] 2024/10/21 - 09:19:53 | batch update finished 
[SYS] 2024/10/21 - 09:20:03 | batch update started 
[SYS] 2024/10/21 - 09:20:03 | batch update finished 
[SYS] 2024/10/21 - 09:20:13 | batch update started 
[SYS] 2024/10/21 - 09:20:13 | batch update finished 
[SYS] 2024/10/21 - 09:20:23 | batch update started 
[SYS] 2024/10/21 - 09:20:23 | batch update finished 
[SYS] 2024/10/21 - 09:20:33 | batch update started 
[SYS] 2024/10/21 - 09:20:33 | batch update finished 
[SYS] 2024/10/21 - 09:20:43 | batch update started 
[SYS] 2024/10/21 - 09:20:43 | batch update finished 
[SYS] 2024/10/21 - 09:20:53 | batch update started 
[SYS] 2024/10/21 - 09:20:53 | batch update finished 
[SYS] 2024/10/21 - 09:21:03 | batch update started 
[SYS] 2024/10/21 - 09:21:03 | batch update finished 
[SYS] 2024/10/21 - 09:21:13 | batch update started 
[SYS] 2024/10/21 - 09:21:13 | batch update finished 
[SYS] 2024/10/21 - 09:21:23 | batch update started 
[SYS] 2024/10/21 - 09:21:23 | batch update finished 
[SYS] 2024/10/21 - 09:21:33 | batch update started 
[SYS] 2024/10/21 - 09:21:33 | batch update finished 
[SYS] 2024/10/21 - 09:21:43 | batch update started 
[SYS] 2024/10/21 - 09:21:43 | batch update finished 
[SYS] 2024/10/21 - 09:21:53 | batch update started 
[SYS] 2024/10/21 - 09:21:53 | batch update finished 
[SYS] 2024/10/21 - 09:22:03 | batch update started 
[SYS] 2024/10/21 - 09:22:03 | batch update finished 
[SYS] 2024/10/21 - 09:22:13 | batch update started 
[SYS] 2024/10/21 - 09:22:13 | batch update finished 
[SYS] 2024/10/21 - 09:22:23 | batch update started 
[SYS] 2024/10/21 - 09:22:23 | batch update finished 
[SYS] 2024/10/21 - 09:22:33 | batch update started 
[SYS] 2024/10/21 - 09:22:33 | batch update finished 
[SYS] 2024/10/21 - 09:22:43 | batch update started 
[SYS] 2024/10/21 - 09:22:43 | batch update finished 
[SYS] 2024/10/21 - 09:22:53 | batch update started 
[SYS] 2024/10/21 - 09:22:53 | batch update finished 
[SYS] 2024/10/21 - 09:23:03 | batch update started 
[SYS] 2024/10/21 - 09:23:03 | batch update finished 
[SYS] 2024/10/21 - 09:23:13 | batch update started 
[SYS] 2024/10/21 - 09:23:13 | batch update finished 
[SYS] 2024/10/21 - 09:23:23 | batch update started 
[SYS] 2024/10/21 - 09:23:23 | batch update finished 
[SYS] 2024/10/21 - 09:23:33 | batch update started 
[SYS] 2024/10/21 - 09:23:33 | batch update finished 
[SYS] 2024/10/21 - 09:23:43 | batch update started 
[SYS] 2024/10/21 - 09:23:43 | batch update finished 
[SYS] 2024/10/21 - 09:23:53 | batch update started 
[SYS] 2024/10/21 - 09:23:53 | batch update finished 
[SYS] 2024/10/21 - 09:24:03 | batch update started 
[SYS] 2024/10/21 - 09:24:03 | batch update finished 
[SYS] 2024/10/21 - 09:24:13 | batch update started 
[SYS] 2024/10/21 - 09:24:13 | batch update finished 
[SYS] 2024/10/21 - 09:24:23 | batch update started 
[SYS] 2024/10/21 - 09:24:23 | batch update finished 
[SYS] 2024/10/21 - 09:24:33 | batch update started 
[SYS] 2024/10/21 - 09:24:33 | batch update finished 
[SYS] 2024/10/21 - 09:24:43 | batch update started 
[SYS] 2024/10/21 - 09:24:43 | batch update finished 
[SYS] 2024/10/21 - 09:24:53 | batch update started 
[SYS] 2024/10/21 - 09:24:53 | batch update finished 
[SYS] 2024/10/21 - 09:25:03 | batch update started 
[SYS] 2024/10/21 - 09:25:03 | batch update finished 
[SYS] 2024/10/21 - 09:25:13 | batch update started 
