[SYS] 2024/10/19 - 11:39:42 | One API v0.6.6 started 
[SYS] 2024/10/19 - 11:39:42 | using MySQL as database 
[FATAL] 2024/10/19 - 11:39:42 | [dial tcp 172.18.0.2:3306: connect: connection refused] 
[SYS] 2024/10/19 - 11:39:42 | One API v0.6.6 started 
[SYS] 2024/10/19 - 11:39:42 | using MySQL as database 
[SYS] 2024/10/19 - 11:39:42 | database migration started 
[SYS] 2024/10/19 - 11:39:42 | database migrated 
[SYS] 2024/10/19 - 11:39:42 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/19 - 11:39:42 | using theme default 
[SYS] 2024/10/19 - 11:39:42 | memory cache enabled 
[SYS] 2024/10/19 - 11:39:42 | sync frequency: 600 seconds 
[SYS] 2024/10/19 - 11:39:42 | channels synced from database 
[SYS] 2024/10/19 - 11:39:42 | batch update enabled with interval 10s 
[SYS] 2024/10/19 - 11:39:42 | initializing token encoders 
[SYS] 2024/10/19 - 11:39:46 | token encoders initialized 
[SYS] 2024/10/19 - 11:39:52 | batch update started 
[SYS] 2024/10/19 - 11:39:52 | batch update finished 
[SYS] 2024/10/19 - 11:40:02 | batch update started 
[SYS] 2024/10/19 - 11:40:02 | batch update finished 
[SYS] 2024/10/19 - 11:40:12 | batch update started 
[SYS] 2024/10/19 - 11:40:12 | batch update finished 
[SYS] 2024/10/19 - 11:40:22 | batch update started 
[SYS] 2024/10/19 - 11:40:22 | batch update finished 
[SYS] 2024/10/19 - 11:40:32 | batch update started 
[SYS] 2024/10/19 - 11:40:32 | batch update finished 
[SYS] 2024/10/19 - 11:40:42 | batch update started 
[SYS] 2024/10/19 - 11:40:42 | batch update finished 
[SYS] 2024/10/19 - 11:40:52 | batch update started 
[SYS] 2024/10/19 - 11:40:52 | batch update finished 
[SYS] 2024/10/19 - 11:41:02 | batch update started 
[SYS] 2024/10/19 - 11:41:02 | batch update finished 
[SYS] 2024/10/19 - 11:41:12 | batch update started 
[SYS] 2024/10/19 - 11:41:12 | batch update finished 
[SYS] 2024/10/19 - 11:41:23 | batch update started 
[SYS] 2024/10/19 - 11:41:23 | batch update finished 
[SYS] 2024/10/19 - 11:41:33 | batch update started 
[SYS] 2024/10/19 - 11:41:33 | batch update finished 
[SYS] 2024/10/19 - 11:41:43 | batch update started 
[SYS] 2024/10/19 - 11:41:43 | batch update finished 
[SYS] 2024/10/19 - 11:41:53 | batch update started 
[SYS] 2024/10/19 - 11:41:53 | batch update finished 
[SYS] 2024/10/19 - 11:42:03 | batch update started 
[SYS] 2024/10/19 - 11:42:03 | batch update finished 
